productId,primaryCategory,classificationCategory
2920087,sofas-and-couches,
2920088,sofas-and-couches,
2920098,power-sofas-loveseats-and-recliners,
2920225,recliners,
2920274,loveseats,
2920286,loveseats,
2920287,sofas-and-couches,
2920288,sofas-and-couches,sofas-and-couches
2920298,power-sofas-loveseats-and-recliners,
2940114,urbanology,urbanology
2940120,,
2940121,urbanology,urbanology
2940135,loveseats,loveseats
2940138,sofas-and-couches,sofas-and-couches
3040108,ottomans,man-cave-seating
3040146,kit-components,
3040155,kit-components,
3040156,kit-components,
3040166,kit-components,
3040167,kit-components,
3160008,ottomans,traditional-living-room
3170035,loveseats,loveseats
3170038,sofas-and-couches,sofas-and-couches
3190125,recliners,rustic-living-room
3190135,loveseats,fall
3190138,sofas-and-couches,fall
3190139,20-percent-off,fall
3190155,kit-components,
3190156,kit-components,
3190166,kit-components,
3190167,kit-components,
3200014,urbanology,urbanology
3200020,urbanology,urban-loft
3200035,loveseats,loveseats
3200036,urbanology,small-spaces-living-room
3200038,sofas-and-couches,sofas-and-couches
3220208,contemporary-living,man-cave-seating
3220221,contemporary-living,contemporary-living
3320420,contemporary-living,urban-loft
3320435,contemporary-living,contemporary-living
3320438,contemporary-living,contemporary-living
3320520,contemporary-living,urban-loft
3320535,contemporary-living,contemporary-living
3320538,contemporary-living,contemporary-living
3320620,contemporary-living,urban-loft
3320635,contemporary-living,contemporary-living
3320638,contemporary-living,contemporary-living
3320720,contemporary-living,modern-living-room
3320735,contemporary-living,contemporary-living
3320738,contemporary-living,contemporary-living
3320820,contemporary-living,contemporary-living
3320835,loveseats,loveseats
3320838,sofas-and-couches,sofas-and-couches
3340014,,
3340014-Master,contemporary-living,ottomans
3340020,,
3340020-Master,contemporary-living,living-room-chairs
3340025,,
3340025-Master,contemporary-living,recliners
3340035,,
3340035-Master,loveseats,loveseats
3340036,,
3340036-Master,contemporary-living,sleeper-sofas
3340038,,
3340038-Master,sofas-and-couches,sofas-and-couches
3340114,,
3340120,,
3340125,,
3340135,,
3340136,,
3340138,,
3350314,ottomans,rustic-living-room
3350320,living-room-chairs,living-room-chairs
3350335,loveseats,fall
3350338,sofas-and-couches,traditional-living-room
3350339,30-percent-off,traditional-living-room
3390414,contemporary-living,contemporary-living
3390514,contemporary-living,contemporary-living
3390614,contemporary-living,patriotic
3390714,contemporary-living,modern-living-room
3390814,contemporary-living,contemporary-living
3410460,bedroom-chairs,bedroom-chairs
3470420,contemporary-living,hygge-living-room
3470435,contemporary-living,contemporary-living
3470438,contemporary-living,contemporary-living
3470520,contemporary-living,contemporary-living
3470535,contemporary-living,contemporary-living
3470538,contemporary-living,contemporary-living
3470620,contemporary-living,patriotic
3470635,contemporary-living,contemporary-living
3470638,contemporary-living,contemporary-living
3470720,contemporary-living,contemporary-living
3470735,contemporary-living,contemporary-living
3470738,contemporary-living,contemporary-living
3480435,contemporary-living,contemporary-living
3480438,contemporary-living,contemporary-living
3480520,contemporary-living,contemporary-living
3480535,contemporary-living,contemporary-living
3480538,contemporary-living,contemporary-living
3480620,contemporary-living,patriotic
3480635,contemporary-living,contemporary-living
3480638,contemporary-living,contemporary-living
3480720,contemporary-living,contemporary-living
3480735,contemporary-living,contemporary-living
3480738,contemporary-living,contemporary-living
3480835,contemporary-living,contemporary-living
3480838,contemporary-living,contemporary-living
3490408,contemporary-living,contemporary-living
3490416,contemporary-living,contemporary-living
3490417,contemporary-living,contemporary-living
3490466,contemporary-living,contemporary-living
3490467,contemporary-living,contemporary-living
3490508,contemporary-living,contemporary-living
3490516,contemporary-living,contemporary-living
3490517,contemporary-living,contemporary-living
3490566,contemporary-living,contemporary-living
3490567,contemporary-living,contemporary-living
3490608,contemporary-living,patriotic
3490616,contemporary-living,contemporary-living
3490617,contemporary-living,contemporary-living
3490666,contemporary-living,contemporary-living
3490667,contemporary-living,contemporary-living
3490708,contemporary-living,contemporary-living
3490716,contemporary-living,contemporary-living
3490717,contemporary-living,contemporary-living
3490766,contemporary-living,contemporary-living
3490767,contemporary-living,contemporary-living
3490808,contemporary-living,ottomans
3490816,contemporary-living,contemporary-living
3490817,contemporary-living,contemporary-living
3490866,contemporary-living,contemporary-living
3490867,contemporary-living,contemporary-living
3510008,contemporary-living,contemporary-living
3510021,contemporary-living,contemporary-living
3510035,loveseats,loveseats
3510038,sofas-and-couches,sofas-and-couches
3510039,contemporary-living,fall
3530001,family-spaces,family-spaces
3530046,family-spaces,family-spaces
3530058,family-spaces,family-spaces
3530062,family-spaces,family-spaces
3530077,family-spaces,family-spaces
3530090,family-spaces,family-spaces
3570114,ashley-exclusives,ottomans
3570123,ashley-exclusives,french-country-living-room
3570135,loveseats,coastal-living-room
3570138,sofas-and-couches,coastal-living-room
3570139,ashley-exclusives,coastal-living-room
3570146,ashley-exclusives,urban-loft
3590136,contemporary-living,small-spaces-living-room
3590137,contemporary-living,sleeper-sofas
3590139,contemporary-living,urban-loft
3590236,contemporary-living,small-spaces-living-room
3590237,contemporary-living,sleeper-sofas
3590239,contemporary-living,urban-loft
3590336,contemporary-living,small-spaces-living-room
3590337,contemporary-living,small-spaces-living-room
3590339,contemporary-living,contemporary-living
3610525,,
3610625,,
3620621,contemporary-living,
3620721,contemporary-living,
3620821,contemporary-living,
3622960,contemporary-living,bedroom-chairs
3623060,contemporary-living,bedroom-chairs
3623160,contemporary-living,bedroom-chairs
3623260,contemporary-living,bedroom-chairs
3630106,family-spaces,family-spaces
3630129,family-spaces,family-spaces
3630306,family-spaces,family-spaces
3630329,family-spaces,family-spaces
3630406,family-spaces,family-spaces
3630429,family-spaces,family-spaces
3640035,loveseats,coastal-living-room
3640038,sofas-and-couches,contemporary-living-room
3640039,contemporary-living,contemporary-living-room
3640060,contemporary-living,contemporary-living-room
3640135,loveseats,loveseats
3640138,sofas-and-couches,contemporary-living-room
3640139,contemporary-living,contemporary-living-room
3640160,contemporary-living,contemporary-living-room
3680325,family-spaces,
3680425,family-spaces,
3680525,family-spaces,
3710225,family-spaces,family-spaces
3710298,family-spaces,family-spaces
3710325,family-spaces,family-spaces
3710398,family-spaces,family-spaces
3710498,family-spaces,family-spaces
3770214,urbanology,glam-living-room
3770220,urbanology,urbanology
3770221,urbanology,urbanology
3770235,loveseats,small-spaces-living-room
3770238,sofas-and-couches,urban-loft
3800025,contemporary-living,traditional-living-room
3800036,contemporary-living,small-spaces-living-room
3800037,contemporary-living,small-spaces-living-room
3800039,contemporary-living,contemporary-living
3800125,contemporary-living,contemporary-living
3800136,contemporary-living,small-spaces-living-room
3800137,contemporary-living,sleeper-sofas
3800139,contemporary-living,contemporary-living
3800225,contemporary-living,contemporary-living
3800236,contemporary-living,sleeper-sofas
3800237,contemporary-living,small-spaces-living-room
3800239,contemporary-living,sleeper-sofas
3820014,ottomans,fall
3820023,living-room-chairs,fall
3820035,loveseats,fall
3820038,sofas-and-couches,fall
3830014,ottomans,ottomans
3830020,living-room-chairs,traditional-living-room
3830035,loveseats,loveseats
3830038,sofas-and-couches,sofas-and-couches
3830039,20-percent-off,fall
3840047,sofas-and-couches,
3840052,family-spaces,
3840081,,
3840081-Master,sofas-and-couches,sofas-and-couches
3840082,family-spaces,
3840094,loveseats,
3840096,loveseats,
3840147,sofas-and-couches,
3840152,family-spaces,
3840181,,
3840182,family-spaces,
3840194,loveseats,
3840196,loveseats,
3910208,contemporary-living,contemporary-living
3930125,contemporary-living,patriotic
3930198,contemporary-living,power-sofas-loveseats-and-recliners
3970111,contemporary-living,fall
3970116,contemporary-living,contemporary-living
3970117,contemporary-living,contemporary-living
3970121,contemporary-living,contemporary-living
3970166,contemporary-living,contemporary-living
3970167,contemporary-living,contemporary-living
3980208,,
3980208-Master,contemporary-living,ottomans
3980216,contemporary-living,contemporary-living
3980217,contemporary-living,contemporary-living
3980234,contemporary-living,contemporary-living
3980266,contemporary-living,contemporary-living
3980267,contemporary-living,contemporary-living
3980308,,
3980316,contemporary-living,contemporary-living
3980317,contemporary-living,contemporary-living
3980334,contemporary-living,contemporary-living
3980366,contemporary-living,contemporary-living
3980367,contemporary-living,contemporary-living
3980408,,
3980416,contemporary-living,contemporary-living
3980417,contemporary-living,contemporary-living
3980434,contemporary-living,contemporary-living
3980466,contemporary-living,contemporary-living
3980467,contemporary-living,contemporary-living
3X0000006694,serta,serta
3X0000006695,serta,serta
3X0000006696,serta,serta
3X0000006697,serta,serta
3X0000006699,serta,serta
3X0000006701,serta,serta
3X0000006702,serta,serta
3X0000006703,serta,serta
3X0000006704,serta,serta
3X0000006706,serta,serta
3X0000006708,serta,serta
3X0000006709,serta,serta
3X0000006710,serta,serta
3X0000006712,serta,serta
3X0000006734,serta,serta
3X0000006735,serta,serta
3X0000006803,simmons-beautyrest,simmons-beautyrest
3X0000006804,simmons-beautyrest,simmons-beautyrest
3X0000006805,simmons-beautyrest,simmons-beautyrest
3X0000006808,simmons-beautyrest,simmons-beautyrest
3X0000006819,simmons-beautyrest,simmons-beautyrest
3X0000006820,simmons-beautyrest,simmons-beautyrest
3X0000006821,simmons-beautyrest,simmons-beautyrest
3X0000006824,simmons-beautyrest,simmons-beautyrest
3X0000006827,simmons-beautyrest,simmons-beautyrest
3X0000006828,simmons-beautyrest,simmons-beautyrest
3X0000006829,simmons-beautyrest,simmons-beautyrest
3X0000006832,simmons-beautyrest,simmons-beautyrest
3X0000006834,simmons-beautyrest,simmons-beautyrest
3X0000006835,simmons-beautyrest,simmons-beautyrest
3X0000006837,simmons-beautyrest,simmons-beautyrest
3X0000006838,simmons-beautyrest,simmons-beautyrest
3X0000006840,simmons-beautyrest,simmons-beautyrest
3X0000006841,simmons-beautyrest,simmons-beautyrest
3X0000006844,simmons-beautyrest,simmons-beautyrest
3X0000006856,simmons-beautyrest,simmons-beautyrest
3X0000006857,simmons-beautyrest,simmons-beautyrest
3X0000006859,simmons-beautyrest,simmons-beautyrest
3X0000006862,simmons-beautyrest,simmons-beautyrest
3X0000006863,simmons-beautyrest,simmons-beautyrest
3X0000006864,simmons-beautyrest,simmons-beautyrest
3X0000006866,simmons-beautyrest,simmons-beautyrest
4010114,urbanology,urbanology
4010120,urbanology,urban-loft
4010121,urbanology,man-cave-seating
4010135,loveseats,loveseats
4010138,sofas-and-couches,sofas-and-couches
4070046,kit-components,
4070055,kit-components,
4070056,kit-components,
4070066,kit-components,
4070067,kit-components,
4110114,ottomans,heritage-road
4110121,living-room-chairs,heritage-road
4110123,living-room-chairs,urban-loft
4110135,loveseats,fall
4110138,sofas-and-couches,fall
4200014,ottomans,ottomans
4200023,living-room-chairs,fall
4200035,loveseats,loveseats
4200038,sofas-and-couches,sofas-and-couches
4210114,contemporary-living,contemporary-living
4210123,contemporary-living,contemporary-living
4210135,loveseats,small-spaces-living-room
4210138,sofas-and-couches,contemporary-living
4250216,kit-components,
4250217,kit-components,
4250234,kit-components,
4250246,kit-components,
4250255,kit-components,
4250256,kit-components,
4250275,,
4250276,,
4250277,kit-components,
4270035,deals-living-room,
4270038,deals-living-room,
4270060,living-room-chairs,traditional-living-room
4290143,loveseats,loveseats
4290147,family-spaces,family-spaces
4290152,family-spaces,family-spaces
4290181,sofas-and-couches,sofas-and-couches
4290182,family-spaces,family-spaces
4290191,family-spaces,power-sofas-loveseats-and-recliners
4290243,loveseats,loveseats
4290247,family-spaces,family-spaces
4290252,family-spaces,family-spaces
4290281,sofas-and-couches,sofas-and-couches
4290282,family-spaces,family-spaces
4290291,family-spaces,power-sofas-loveseats-and-recliners
4330308,ottomans,traditional-living-room
4330314,ottomans,heritage-road
4330321,living-room-chairs,fall
4330323,living-room-chairs,fall
4330335,loveseats,fall
4330338,sofas-and-couches,sofas-and-couches
438XX21,contemporary-living,contemporary-living
4400021,vintage-casual,vintage-casual
4400022,vintage-casual,bedroom-chairs
4400035,loveseats,vintage-casual
4400038,sofas-and-couches,vintage-casual
4470025,,
4470125,,
4480008,ottomans,
4490014,ottomans,ottomans
4490020,living-room-chairs,traditional-living-room
4490035,loveseats,fall
4490038,sofas-and-couches,sofas-and-couches
4490039,20-percent-off,fall
4510113,ottomans,heritage-road
4510135,loveseats,loveseats
4510138,sofas-and-couches,sofas-and-couches
4510160,living-room-chairs,heritage-road
4520308,contemporary-living,contemporary-living
4550111,urbanology,savvy-storage
4550116,urbanology,urbanology
4550117,urbanology,urbanology
4550123,urbanology,urbanology
4550166,urbanology,urbanology
4550167,urbanology,urbanology
4570008,contemporary-living,hygge-living-room
4570016,contemporary-living,contemporary-living
4570017,contemporary-living,contemporary-living
4570034,contemporary-living,contemporary-living
4570055,contemporary-living,contemporary-living
4570056,contemporary-living,contemporary-living
4570077,contemporary-living,contemporary-living
4630160,,
4630160-Master,contemporary-living,bedroom-chairs
4630260,,
4630460,,
4650025,contemporary-living,contemporary-living
4650035,loveseats,patriotic
4650038,sofas-and-couches,patriotic
4650125,contemporary-living,contemporary-living
4650135,loveseats,game-ready-seating
4650138,sofas-and-couches,contemporary-living
4700214,urbanology,urbanology
4700220,urbanology,urban-loft
4700235,loveseats,loveseats
4700238,sofas-and-couches,sofas-and-couches
4700239,urbanology,urban-loft
4760008,contemporary-living,french-country-living-room
4760014,contemporary-living,contemporary-living
4760020,contemporary-living,contemporary-living
4760021,contemporary-living,french-country-living-room
4760035,loveseats,loveseats
4760038,sofas-and-couches,sofas-and-couches
4760039,contemporary-living,contemporary-living
4790098,family-spaces,family-spaces
4930014,urbanology,modern-living-room
4930023,urbanology,contemporary-living-room
4930035,loveseats,loveseats
4930038,sofas-and-couches,sofas-and-couches
5000425,contemporary-living,contemporary-living
5000525,contemporary-living,contemporary-living
5000625,contemporary-living,contemporary-living
5020313,family-spaces,power-sofas-loveseats-and-recliners
5020315,sofas-and-couches,sofas-and-couches
5020318,family-spaces,power-sofas-loveseats-and-recliners
5030116,family-spaces,family-spaces
5030117,family-spaces,family-spaces
5030119,family-spaces,family-spaces
5030140,family-spaces,family-spaces
5030141,family-spaces,family-spaces
5030146,family-spaces,family-spaces
5030157,family-spaces,console-tables
5030177,family-spaces,family-spaces
5030216,family-spaces,family-spaces
5030217,family-spaces,family-spaces
5030219,family-spaces,family-spaces
5030240,family-spaces,family-spaces
5030241,family-spaces,family-spaces
5030246,family-spaces,family-spaces
5030257,family-spaces,family-spaces
5030277,family-spaces,family-spaces
5040408,ottomans,man-cave-seating
5040414,ottomans,ottomans
5040423,living-room-chairs,traditional-living-room
5040435,loveseats,small-spaces-living-room
5040438,sofas-and-couches,sofas-and-couches
5040439,20-percent-off,fall
5040446,kit-components,
5040455,kit-components,
5040456,kit-components,
5040466,kit-components,
5040467,kit-components,
5060214,ottomans,industrial-living-room
5060216,kit-components,
5060217,kit-components,
5060234,,
5060246,kit-components,
5060255,kit-components,
5060256,kit-components,
5060277,,
5090313,family-spaces,power-sofas-loveseats-and-recliners
5090314,family-spaces,power-sofas-loveseats-and-recliners
5090315,family-spaces,family-spaces
5120225,family-spaces,family-spaces
5130213,family-spaces,family-spaces
5130214,family-spaces,power-sofas-loveseats-and-recliners
5130215,family-spaces,family-spaces
5170208,urbanology,urbanology
5170216,urbanology,urbanology
5170217,urbanology,urbanology
5170221,urbanology,fall
5170266,urbanology,urbanology
5170267,urbanology,urbanology
5190215,contemporary-living,fall
5190221,contemporary-living,french-country-living-room
5200220,living-room-chairs,urban-loft
5200235,loveseats,small-spaces-living-room
5200238,sofas-and-couches,sofas-and-couches
5250111,vintage-casual,vintage-casual
5250116,vintage-casual,vintage-casual
5250117,vintage-casual,vintage-casual
5250134,vintage-casual,vintage-casual
5250155,vintage-casual,vintage-casual
5250156,loveseats,loveseats
5250177,vintage-casual,vintage-casual
5330260,,
5330260-Master,contemporary-living,
5330360,,
5330560,,
